email,firstname,lastname,country,postcode
canola.sells0a@icloud.com,Landon,Ortiz,US,85001
loess-pier-04@icloud.com,Kaitlyn,Harris,US,11101
smogs.03insect@icloud.com,Tristan,Wheeler,US,32005
rapid-sherbet0w@icloud.com,Lena,Olson,US,76104
mention.banter_0q@icloud.com,Camryn,Fisher,US,94105
04_walleye_crock@icloud.com,Julianne,Diaz,US,20010
sludgy_shriek0s@icloud.com,Esther,Hart,US,40202
trophy-monoid-0i@icloud.com,Jameson,Pena,US,75201
roofs_dough_09@icloud.com,Paige,Wallace,US,85004
implant_birder_0b@icloud.com,Addison,Harvey,US,73102
